Company,Title,Data,Call,Message,Telecom,AfterDataSpeed,DiscountMonth,Price
티플러스,The 데이터마음껏15G＋(300분)(예스24 e북)_12개월할인,15GB+ 최대 3Mbps           ,300분,300건,LGU,없음,11개월,"20,900"
티플러스,The 완전마음껏11G＋(예스24 e북)_12개월할인,11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,LGU,없음,11개월,"25,850"
티플러스,The 마음껏 매일5G＋(예스24 e북)_12개월할인, 일 5GB+ 최대 5Mbps           ,기본제공,기본제공,LGU,없음,11개월,"31,900"
티플러스,5G 티플 8GB(8GB/300분),8GB           ,300분,100건,SKT,없음,6개월,"4,400"
티플러스,5G 티플 12GB(12GB/300분),12GB           ,300분,100건,SKT,없음,6개월,"5,900"
티플러스,5G 티플 15GB(15GB/300분),15GB           ,300분,100건,SKT,없음,6개월,"7,300"
티플러스,티플 데이터마음껏10G(100분),10GB+ 최대 1Mbps           ,100분,100건,LGU,없음,5개월,"6,500"
티플러스,티플 데이터마음껏5G(100분),5GB+ 최대 1Mbps           ,100분,100건,LGU,없음,5개월,"5,280"
티플러스,완전마음껏 10GB＋＋(밀리의서재),10GB+ 최대 1Mbps           ,기본제공,기본제공,KT,없음,6개월,"8,580"
티플러스,완전마음껏 15GB＋＋(밀리의서재),15GB+ 최대 1Mbps           ,기본제공,기본제공,KT,없음,6개월,"9,570"
티플러스,데이터마음껏 15GB＋＋(300분)(네이버페이 매월 5000P),15GB+ 최대 3Mbps           ,300분,300건,KT,없음,6개월,"17,600"
티플러스,완전마음껏 100GB＋＋(네이버페이 매월 5000P),100GB+ 최대 5Mbps           ,기본제공,기본제공,KT,없음,6개월,"27,500"
티플러스,완전마음껏 일5GB＋＋(블라이스 매월 무료), 일 5GB+ 최대 5Mbps           ,기본제공,기본제공,KT,없음,6개월,"24,530"
티플러스,티플 위드유 10GB＋(G car)_12개월할인,10GB+ 최대 1Mbps           ,기본제공,기본제공,SKT,없음,11개월,"9,900"
티플러스,티플 위드유 15GB＋(100분)(G car)_12개월할인,15GB+ 최대 3Mbps           ,100분,100건,SKT,없음,11개월,"14,900"
티플러스,티플 위드유 15GB＋(300분)(G car)_12개월할인,15GB+ 최대 3Mbps           ,300분,300건,SKT,없음,11개월,"18,500"
티플러스,티플 위드유 100GB＋(G car)_12개월할인,100GB+ 최대 5Mbps           ,기본제공,기본제공,SKT,없음,11개월,"30,500"
티플러스,티플포유(6G/500분),6GB           ,500분,100건,LGU,없음,4개월,"4,510"
티플러스,티플 10GB(10GB/100분),10GB           ,100분,100건,LGU,없음,4개월,"6,890"
티플러스,티플 8GB(8GB/300분),8GB           ,300분,100건,SKT,없음,4개월,"6,600"
티플러스,티플 12GB(12GB/300분),12GB           ,300분,100건,SKT,없음,4개월,"8,800"
티플러스,5G 티플 10GB(10GB/300분),10GB           ,300분,100건,SKT,없음,4개월,"7,700"
티플러스,The 데이터마음껏15G＋(300분),15GB+ 최대 3Mbps           ,300분,300건,LGU,없음,6개월,"19,030"
티플러스,The 완전마음껏11G＋,11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,LGU,없음,6개월,"23,100"
티플러스,The 데이터마음껏15G＋(100분),15GB+ 최대 3Mbps           ,100분,100건,LGU,없음,6개월,"17,050"
티플러스,The 마음껏 매일5G＋, 일 5GB+ 최대 5Mbps           ,기본제공,기본제공,LGU,없음,6개월,"29,700"
티플러스,티플 5GB(5GB/300분),5GB           ,300분,100건,SKT,없음,4개월,"3,300"
티플러스,티플 15GB(15GB/300분),15GB           ,300분,100건,SKT,없음,4개월,"9,900"
티플러스,The 완전마음껏7G＋,7GB+ 최대 1Mbps           ,기본제공,기본제공,LGU,없음,6개월,"8,800"
티플러스,The 완전마음껏10G＋,10GB+ 최대 1Mbps           ,기본제공,기본제공,LGU,없음,6개월,"8,800"
티플러스,완전마음껏 10GB＋,10GB+ 최대 1Mbps           ,기본제공,기본제공,KT,없음,6개월,"8,580"
티플러스,The 완전마음껏 15GB＋,15GB+ 최대 1Mbps           ,기본제공,기본제공,KT,없음,6개월,"9,570"
티플러스,티플 안심무한15GB,15GB+ 최대 3Mbps           ,100분,100건,KT,없음,6개월,"13,530"
티플러스,티플안심무한 300분/15G＋,15GB+ 최대 3Mbps           ,300분,300건,KT,없음,6개월,"15,590"
티플러스,완전마음껏 11GB＋＋(배달의민족 매월 5000P),11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,KT,없음,6개월,"21,100"
티플러스,완전마음껏 11GB＋＋(왓챠 베이직 매월 무료),11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,KT,없음,6개월,"21,850"
티플러스,완전마음껏 11GB＋＋(멜론 매월 6900P),11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,KT,없음,6개월,"21,700"
티플러스,완전마음껏 100GB＋＋(밀리의서재),100GB+ 최대 5Mbps           ,기본제공,기본제공,KT,없음,6개월,"24,530"
티플러스,데이터마음껏 15GB＋＋(300분)(CU 20%할인),15GB+ 최대 3Mbps           ,300분,300건,KT,없음,6개월,"15,510"
티플러스,완전마음껏 100GB＋＋(CU 20%할인),100GB+ 최대 5Mbps           ,기본제공,기본제공,KT,없음,6개월,"24,530"
티플러스,The 완전마음껏 7GB＋,7GB+ 최대 1Mbps           ,기본제공,기본제공,SKT,없음,6개월,"8,000"
티플러스,The 완전마음껏 10GB＋,10GB+ 최대 1Mbps           ,기본제공,기본제공,SKT,없음,6개월,"8,500"
티플러스,The 데이터마음껏 15GB＋(100분),15GB+ 최대 3Mbps           ,100분,100건,SKT,없음,6개월,"13,500"
티플러스,The 데이터마음껏 15GB＋(300분),15GB+ 최대 3Mbps           ,300분,300건,SKT,없음,6개월,"15,500"
티플러스,The 완전마음껏 11GB＋,11GB+ 일 2GB+ 최대 3Mbps           ,기본제공,기본제공,SKT,없음,6개월,"19,500"
티플러스,The 완전마음껏 100GB＋,100GB+ 최대 5Mbps           ,기본제공,기본제공,SKT,없음,6개월,"26,500"
티플러스,티플 데이터마음껏1G(100분),1GB+ 최대 1Mbps           ,100분,100건,LGU,없음,정보 없음,"6,600"
티플러스,티플 데이터마음껏3G(100분),3GB+ 최대 1Mbps           ,100분,100건,LGU,없음,정보 없음,"8,800"
티플러스,The 통화마음껏 1.5GB,1.5GB           ,기본제공,기본제공,SKT,없음,4개월,"12,100"
티플러스,티플 10GB(10GB/300분),10GB           ,300분,100건,SKT,없음,4개월,"7,700"
티플러스,티플 10GB(10GB/0분),10GB           ,0분,0건,SKT,없음,4개월,"6,500"
티플러스,티플 10GB(10GB/100분),10GB           ,100분,100건,SKT,없음,4개월,"7,000"
티플러스,티플 10GB(10GB/200분),10GB           ,200분,100건,SKT,없음,4개월,"7,500"
티플러스,티플 10GB(10GB/0분),10GB           ,0분,0건,LGU,없음,정보 없음,"7,500"
티플러스,티플 10GB(10GB/200분),10GB           ,200분,100건,LGU,없음,정보 없음,"8,500"
티플러스,티플 10GB(10GB/300분),10GB           ,300분,100건,LGU,없음,정보 없음,"8,990"
티플러스,The 데이터마음껏 3GB＋(200분),3GB+ 최대 1Mbps           ,200분,100건,SKT,없음,정보 없음,"17,600"
티플러스,The 데이터마음껏 5GB＋(200분),5GB+ 최대 1Mbps           ,200분,100건,SKT,없음,정보 없음,"19,800"
티플러스,티플 드림(3GB/200분),3GB           ,200분,200건,SKT,없음,정보 없음,"7,700"
티플러스,티플 드림(2GB/200분),2GB           ,200분,200건,SKT,없음,정보 없음,"6,600"
티플러스,티플 드림(2GB/100분),2GB           ,100분,100건,SKT,없음,정보 없음,"5,500"
티플러스,티플 드림(1GB/200분),1GB           ,200분,200건,SKT,없음,정보 없음,"4,950"
티플러스,티플 드림(3GB/100분),3GB           ,100분,100건,SKT,없음,정보 없음,"6,600"
티플러스,티플 드림(1GB/100분),1GB           ,100분,100건,SKT,없음,정보 없음,"3,850"
티플러스,티플포유(2G/200분),2GB           ,200분,100건,LGU,없음,정보 없음,"5,500"
티플러스,티플포유(2G/100분),2GB           ,100분,100건,LGU,없음,정보 없음,"4,400"
티플러스,티플포유(1.8G/50분),1.8GB           ,50분,50건,LGU,없음,정보 없음,"3,300"
티플러스,티플포유(1G/100분),1GB           ,100분,100건,LGU,없음,정보 없음,"3,300"
티플러스,완전마음껏 시니어2G＋,2GB+ 최대 400Kbps           ,기본제공,기본제공,KT,없음,5개월,"5,500"
티플러스,LTE 스마트데이터 10GB,10GB+ 최대 200Kbps           ,0분,0건,KT,없음,5개월,"6,560"
티플러스,LTE 스마트데이터 20GB,20GB+ 최대 200Kbps           ,0분,0건,KT,없음,5개월,"9,860"
티플러스,티플 태블릿데이터20G,20GB           ,0분,0건,LGU,없음,정보 없음,"12,100"
티플러스,티플 완전마음껏6G＋,6GB+ 최대 1Mbps           ,기본제공,기본제공,LGU,없음,정보 없음,"16,500"
티플러스,티플 데이터마음껏15G＋(100분),15GB+ 최대 3Mbps           ,100분,100건,LGU,없음,정보 없음,"27,500"
티플러스,티플 데이터마음껏15G＋(300분),15GB+ 최대 3Mbps           ,300분,300건,LGU,없음,정보 없음,"29,700"
티플러스,티플포유(3G/100분),3GB           ,100분,100건,LGU,없음,4개월,"1,760"
티플러스,우체국 티플 데이터2.5G,2.5GB           ,200분,200건,KT,없음,정보 없음,"4,000"
티플러스,우체국 티플 데이터6G,6GB           ,300분,300건,KT,없음,정보 없음,"6,000"
티플러스,우체국 티플음성200,100MB           ,200분,200건,KT,없음,정보 없음,"2,000"
티플러스,티플 10GB(10GB/100분),10GB           ,100분,100건,KT,없음,정보 없음,"7,990"
티플러스,티플 10GB(10GB/200분),10GB           ,200분,100건,KT,없음,정보 없음,"8,500"
티플러스,티플 10GB(10GB/300분),10GB           ,300분,100건,KT,없음,정보 없음,"8,990"
티플러스,티플 10GB(10GB/0분),10GB           ,0분,0건,KT,없음,정보 없음,"7,500"
티플러스,LTE 복지(200분/5GB＋),5GB+ 최대 1Mbps           ,200분,100건,LGU,없음,정보 없음,"12,320"
티플러스,LTE 복지(150분/1.5GB),1.5GB           ,150분,150건,KT,없음,정보 없음,"7,920"
티플러스,LTE베이직 1.4GB,1.4GB           ,기본제공,기본제공,KT,없음,정보 없음,"31,900"
티플러스,티플 복지(3GB/100분),3GB           ,100분,100건,SKT,없음,정보 없음,"5,280"
